c 51 15
40 50 0 960
25 85 431 911
22 75 30 510
22 85 291 771
20 80 674 734
20 85 40 520
18 75 393 502
15 75 120 600
15 80 397 457
10 35 401 461
10 40 535 622
8 40 225 285
8 45 43 523
5 35 683 743
5 45 35 366
2 40 204 264
0 40 204 425
0 45 698 827
44 5 306 483
42 10 199 428
42 15 494 699
40 5 45 525
40 15 383 486
38 5 231 291
38 15 609 872
35 5 821 881
95 30 349 829
95 35 138 273
92 30 78 339
90 35 132 375
88 30 252 359
88 35 50 530
87 30 562 799
85 25 71 208
85 35 307 787
67 85 655 778
65 85 43 186
65 82 377 857
62 80 308 368
60 80 46 201
60 85 339 438
58 75 377 494
55 80 33 166
55 85 531 736
55 82 247 307
20 82 37 177
18 80 432 665
2 45 38 322
42 5 424 904
42 12 460 539
72 35 327 807
