c 51 15
40 50 0 1236
45 68 890 989
45 70 816 879
42 66 55 156
42 68 703 806
42 65 15 60
40 69 559 764
40 66 172 223
38 68 250 329
38 70 489 650
35 66 361 406
35 69 450 503
25 85 647 726
22 75 30 95
22 85 571 616
20 80 392 421
20 85 478 525
18 75 105 142
15 75 172 261
15 80 274 349
30 50 10 77
30 52 918 961
28 52 806 889
28 55 739 770
25 50 55 154
25 52 172 221
25 55 612 711
23 52 264 313
23 55 553 586
20 50 365 398
20 55 452 501
10 35 204 233
10 40 31 189
8 40 42 203
8 45 715 852
5 35 251 376
5 45 648 733
2 40 365 452
0 40 474 527
0 45 541 650
35 30 240 345
35 32 123 278
33 32 19 225
33 35 16 153
32 30 338 433
30 30 513 628
30 32 415 542
30 35 872 1127
28 30 599 726
28 35 917 1126
26 32 779 916
