c 51 15
40 50 0 1236
45 68 885 994
45 70 802 893
42 66 25 186
42 68 699 810
42 65 15 120
40 69 580 743
40 66 142 253
38 68 220 359
38 70 499 640
35 66 331 436
35 69 420 533
25 85 617 756
22 75 30 155
22 85 541 646
20 80 362 451
20 85 448 555
18 75 75 172
15 75 142 291
15 80 244 379
30 50 10 137
30 52 888 991
28 52 776 919
28 55 709 800
25 50 25 184
25 52 142 251
25 55 582 741
23 52 234 343
23 55 523 616
20 50 335 428
20 55 422 531
10 35 181 256
10 40 31 170
8 40 52 193
8 45 719 848
5 35 252 375
5 45 639 742
2 40 357 460
0 40 457 544
0 45 538 653
35 30 236 349
35 32 132 269
33 32 27 190
33 35 16 144
32 30 332 439
30 30 512 629
30 32 417 540
30 35 982 1127
28 30 601 724
28 35 969 1098
26 32 783 912
