c 51 15
35 35 0 230
41 49 73 204
35 17 18 147
55 45 76 165
55 20 73 195
15 30 20 167
25 30 49 158
20 50 36 135
10 43 50 149
55 60 47 156
30 60 85 172
20 65 33 152
50 35 15 133
30 25 79 208
15 10 32 187
30 5 30 152
10 20 29 139
5 30 60 189
20 40 47 136
15 60 32 146
45 65 79 182
45 20 18 136
45 10 50 153
55 5 36 155
65 35 58 190
65 20 56 186
45 30 87 186
35 40 5 140
41 37 6 136
64 42 29 150
40 60 25 132
31 52 17 138
35 69 67 186
53 52 24 161
65 55 70 173
63 65 54 178
2 60 41 178
20 20 87 190
5 5 42 153
60 12 33 186
40 25 40 139
42 7 43 160
24 12 25 158
23 3 82 185
11 14 31 144
6 38 29 169
2 48 63 180
8 56 34 176
13 52 65 192
6 68 73 152
47 47 75 182
