c 51 15
40 50 0 1236
45 68 0 1127
45 70 0 1125
42 66 0 1129
42 68 727 782
42 65 0 1130
40 69 621 702
40 66 0 1130
38 68 255 324
38 70 534 605
35 66 357 410
35 69 448 505
25 85 0 1107
22 75 30 92
22 85 567 620
20 80 384 429
20 85 475 528
18 75 99 148
15 75 179 254
15 80 278 345
30 50 10 73
30 52 0 1135
28 52 812 883
28 55 732 777
25 50 65 144
25 52 169 224
25 55 0 1130
23 52 261 316
23 55 546 593
20 50 358 405
20 55 449 504
10 35 0 1112
10 40 31 100
8 40 87 158
8 45 0 1113
5 35 283 344
5 45 665 716
2 40 0 1106
0 40 479 522
0 45 567 624
35 30 264 321
35 32 166 235
33 32 68 149
33 35 16 80
32 30 359 412
30 30 541 600
30 32 448 509
30 35 1054 1127
28 30 0 1122
28 35 1001 1066
26 32 0 1123
