c 51 15
40 50 0 1236
45 68 760 1120
45 70 668 1028
42 66 16 376
42 68 575 935
42 65 15 375
40 69 482 842
40 66 18 378
38 68 110 470
38 70 390 750
35 66 204 564
35 69 297 657
25 85 507 867
22 75 30 390
22 85 414 774
20 80 227 587
20 85 322 682
18 75 33 393
15 75 37 397
15 80 132 492
30 50 10 370
30 52 760 1120
28 52 668 1028
28 55 575 935
25 50 15 375
25 52 17 377
25 55 482 842
23 52 109 469
23 55 390 750
20 50 202 562
20 55 297 657
10 35 39 399
10 40 31 391
8 40 33 393
8 45 604 964
5 35 134 494
5 45 511 871
2 40 229 589
0 40 321 681
0 45 416 776
35 30 113 473
35 32 21 381
33 32 19 379
33 35 16 376
32 30 206 566
30 30 391 751
30 32 299 659
30 35 767 1127
28 30 483 843
28 35 766 1126
26 32 668 1028
