c 51 15
40 50 0 3390
52 75 0 3272
45 70 0 3279
62 69 0 3270
60 66 1261 1421
42 65 0 3284
16 42 0 3274
58 70 0 3273
34 60 2887 3047
28 70 2601 2761
35 66 0 3283
35 69 2698 2858
25 85 0 3261
22 75 2405 2565
22 85 0 3260
20 80 2216 2376
20 85 0 3259
18 75 0 3266
15 75 0 3264
15 80 0 3260
30 50 0 3290
30 56 0 3288
28 52 0 3287
14 66 1643 1803
25 50 0 3285
22 66 2504 2664
8 62 0 3265
23 52 0 3282
4 55 0 3263
20 50 0 3280
20 55 0 3279
10 35 0 3266
10 40 0 3268
8 40 0 3266
8 45 0 3267
5 35 0 3261
5 45 0 3264
2 40 0 3260
0 40 1063 1223
0 45 0 3259
36 18 0 3267
35 32 0 3281
33 32 0 3280
33 35 0 3283
32 20 1913 2073
30 30 0 3277
34 25 0 3274
30 35 0 3281
36 40 0 3289
48 20 0 3268
26 32 0 3277
