c 51 15
35 35 0 230
41 49 133 198
35 17 22 87
55 45 98 143
55 20 123 184
15 30 20 93
25 30 76 131
20 50 61 110
10 43 75 124
55 60 74 129
30 60 107 150
20 65 42 101
50 35 38 97
30 25 131 196
15 10 32 114
30 5 35 96
10 20 52 107
5 30 124 189
20 40 69 114
15 60 52 109
45 65 105 156
45 20 37 96
45 10 76 127
55 5 43 102
65 35 124 190
65 20 121 186
45 30 112 161
35 40 8 75
41 37 11 76
64 42 37 98
40 60 49 102
31 52 24 85
35 69 116 175
53 52 24 92
65 55 96 147
63 65 116 178
2 60 41 112
20 20 113 164
5 5 60 115
60 12 33 110
40 25 65 114
42 7 72 131
24 12 25 91
23 3 111 162
11 14 45 102
6 38 29 99
2 48 92 151
8 56 34 105
13 52 128 192
6 68 93 132
47 47 102 155
