c 51 15
40 50 0 1236
45 68 850 1030
45 70 758 938
42 66 16 196
42 68 665 845
42 65 15 195
40 69 572 752
40 66 108 288
38 68 200 380
38 70 480 660
35 66 294 474
35 69 387 567
25 85 597 777
22 75 30 210
22 85 504 684
20 80 317 497
20 85 412 592
18 75 34 214
15 75 127 307
15 80 222 402
30 50 10 190
30 52 850 1030
28 52 758 938
28 55 665 845
25 50 15 195
25 52 107 287
25 55 572 752
23 52 199 379
23 55 480 660
20 50 292 472
20 55 387 567
10 35 129 309
10 40 31 211
8 40 33 213
8 45 694 874
5 35 224 404
5 45 601 781
2 40 319 499
0 40 411 591
0 45 506 686
35 30 203 383
35 32 111 291
33 32 19 199
33 35 16 196
32 30 296 476
30 30 481 661
30 32 389 569
30 35 947 1127
28 30 573 753
28 35 944 1124
26 32 758 938
