c 51 15
35 35 0 1000
41 49 636 919
35 17 74 351
55 45 498 613
55 20 470 965
15 30 20 370
25 30 266 663
20 50 292 449
10 43 288 597
55 60 254 643
30 60 496 713
20 65 33 510
50 35 170 403
30 25 426 978
15 10 32 454
30 5 30 529
10 20 222 423
5 30 409 959
20 40 349 462
15 60 215 432
45 65 538 709
45 20 156 389
45 10 280 623
55 5 36 513
65 35 633 918
65 20 400 956
45 30 548 707
35 40 5 612
41 37 44 325
64 42 129 374
40 60 115 498
31 52 91 336
35 69 602 835
53 52 24 646
65 55 487 656
63 65 439 948
2 60 41 710
20 20 563 736
5 5 147 560
60 12 33 797
40 25 243 554
42 7 225 682
24 12 25 616
23 3 578 747
11 14 72 501
6 38 29 669
2 48 458 685
8 56 34 362
13 52 694 962
6 68 444 597
47 47 499 690
