c 51 15
40 50 0 3390
52 75 71 711
45 70 20 660
62 69 927 1567
60 66 1021 1661
42 65 15 655
16 42 257 897
58 70 833 1473
34 60 2647 3287
28 70 2361 3001
35 66 2551 3191
35 69 2458 3098
25 85 1879 2519
22 75 2165 2805
22 85 1786 2426
20 80 1976 2616
20 85 1694 2334
18 75 2071 2711
15 75 1502 2142
15 80 1597 2237
30 50 10 650
30 56 2648 3288
28 52 12 652
14 66 1403 2043
25 50 15 655
22 66 2264 2904
8 62 1305 1945
23 52 17 657
4 55 1207 1847
20 50 158 798
20 55 63 703
10 35 541 1181
10 40 353 993
8 40 445 1085
8 45 1106 1746
5 35 636 1276
5 45 1013 1653
2 40 731 1371
0 40 823 1463
0 45 918 1558
36 18 1579 2219
35 32 2518 3158
33 32 2426 3066
33 35 2333 2973
32 20 1673 2313
30 30 1865 2505
34 25 1769 2409
30 35 2240 2880
36 40 2616 3256
48 20 727 1367
26 32 2052 2692
