c 51 15
40 50 0 1236
45 68 0 1127
45 70 0 1125
42 66 0 1129
42 68 727 782
42 65 0 1130
40 69 0 1127
40 66 0 1130
38 68 255 324
38 70 534 605
35 66 0 1129
35 69 448 505
25 85 0 1107
22 75 30 92
22 85 0 1106
20 80 384 429
20 85 0 1105
18 75 0 1112
15 75 0 1110
15 80 0 1106
30 50 0 1136
30 52 0 1135
28 52 0 1133
28 55 732 777
25 50 0 1131
25 52 169 224
25 55 0 1130
23 52 0 1128
23 55 0 1128
20 50 0 1126
20 55 0 1125
10 35 0 1112
10 40 0 1114
8 40 0 1112
8 45 0 1113
5 35 0 1107
5 45 0 1110
2 40 0 1106
0 40 479 522
0 45 0 1105
35 30 0 1125
35 32 0 1127
33 32 0 1126
33 35 0 1129
32 30 359 412
30 30 0 1123
30 32 0 1125
30 35 0 1127
28 30 0 1122
28 35 0 1126
26 32 0 1123
