c 51 15
40 50 0 960
25 85 673 793
22 75 152 272
22 85 471 591
20 80 644 764
20 85 73 193
18 75 388 508
15 75 300 420
15 80 367 487
10 35 371 491
10 40 519 639
8 40 195 315
8 45 223 343
5 35 653 773
5 45 35 155
2 40 174 294
0 40 255 375
0 45 703 823
44 5 335 455
42 10 254 374
42 15 537 657
40 5 215 335
40 15 375 495
38 5 201 321
38 15 681 801
35 5 784 904
95 30 529 649
95 35 146 266
92 30 149 269
90 35 194 314
88 30 246 366
88 35 165 285
87 30 621 741
85 25 80 200
85 35 487 607
67 85 657 777
65 85 43 163
65 82 557 677
62 80 278 398
60 80 64 184
60 85 329 449
58 75 376 496
55 80 33 153
55 85 574 694
55 82 217 337
20 82 37 157
18 80 489 609
2 45 105 225
42 5 732 852
42 12 440 560
72 35 507 627
