c 51 15
40 50 0 960
25 85 613 853
22 75 92 332
22 85 411 651
20 80 584 824
20 85 40 280
18 75 328 568
15 75 240 480
15 80 307 547
10 35 311 551
10 40 459 699
8 40 135 375
8 45 163 403
5 35 593 833
5 45 35 275
2 40 114 354
0 40 195 435
0 45 643 883
44 5 275 515
42 10 194 434
42 15 477 717
40 5 155 395
40 15 315 555
38 5 141 381
38 15 621 861
35 5 664 904
95 30 469 709
95 35 86 326
92 30 89 329
90 35 134 374
88 30 186 426
88 35 105 345
87 30 561 801
85 25 51 291
85 35 427 667
67 85 597 837
65 85 43 283
65 82 497 737
62 80 218 458
60 80 36 276
60 85 269 509
58 75 316 556
55 80 33 273
55 85 514 754
55 82 157 397
20 82 37 277
18 80 429 669
2 45 45 285
42 5 664 904
42 12 380 620
72 35 447 687
