c 51 15
35 35 0 230
41 49 130 201
35 17 20 89
55 45 106 135
55 20 71 195
15 30 20 107
25 30 54 153
20 50 66 105
10 43 61 138
55 60 53 150
30 60 101 156
20 65 33 152
50 35 38 97
30 25 70 208
15 10 32 137
30 5 30 154
10 20 54 105
5 30 51 189
20 40 77 106
15 60 53 108
45 65 109 152
45 20 37 96
45 10 59 144
55 5 36 155
65 35 118 190
65 20 47 186
45 30 117 156
35 40 5 156
41 37 8 79
64 42 37 98
40 60 28 123
31 52 24 85
35 69 116 175
53 52 24 179
65 55 100 143
63 65 50 178
2 60 41 178
20 20 117 160
5 5 42 145
60 12 33 186
40 25 51 128
42 7 44 159
24 12 25 172
23 3 115 158
11 14 31 138
6 38 29 189
2 48 93 150
8 56 34 116
13 52 125 192
6 68 93 132
47 47 105 152
