c 51 15
35 35 0 1000
41 49 658 898
35 17 93 333
55 45 436 676
55 20 620 860
15 30 20 260
25 30 345 585
20 50 251 491
10 43 323 563
55 60 329 569
30 60 485 725
20 65 146 386
50 35 167 407
30 25 639 879
15 10 32 272
30 5 118 358
10 20 203 443
5 30 682 922
20 40 286 526
15 60 204 444
45 65 504 744
45 20 153 393
45 10 332 572
55 5 146 386
65 35 656 896
65 20 716 956
45 30 508 748
35 40 60 300
41 37 65 305
64 42 132 372
40 60 187 427
31 52 94 334
35 69 599 839
53 52 24 264
65 55 452 692
63 65 630 870
2 60 41 281
20 20 530 770
5 5 234 474
60 12 33 273
40 25 279 519
42 7 334 574
24 12 25 265
23 3 543 783
11 14 167 407
6 38 29 269
2 48 452 692
8 56 48 288
13 52 720 960
6 68 401 641
47 47 475 715
