c 51 15
40 50 0 3390
52 75 0 3272
45 70 0 3279
62 69 0 3270
60 66 1261 1421
42 65 0 3284
16 42 497 657
58 70 0 3273
34 60 2887 3047
28 70 2601 2761
35 66 2791 2951
35 69 2698 2858
25 85 0 3261
22 75 2405 2565
22 85 2026 2186
20 80 2216 2376
20 85 1934 2094
18 75 2311 2471
15 75 1742 1902
15 80 1837 1997
30 50 10 170
30 56 0 3288
28 52 22 182
14 66 1643 1803
25 50 116 276
22 66 2504 2664
8 62 0 3265
23 52 209 369
4 55 1447 1607
20 50 398 558
20 55 303 463
10 35 0 3266
10 40 593 753
8 40 685 845
8 45 0 3267
5 35 876 1036
5 45 1253 1413
2 40 0 3260
0 40 1063 1223
0 45 1158 1318
36 18 1819 1979
35 32 2758 2918
33 32 2666 2826
33 35 2573 2733
32 20 1913 2073
30 30 2105 2265
34 25 2009 2169
30 35 2480 2640
36 40 0 3289
48 20 967 1127
26 32 0 3277
