c 36 12
40 50 0 3390
52 75 0 3272
45 70 0 3279
62 69 0 3270
60 66 1261 1421
42 65 0 3284
16 42 497 657
58 70 0 3273
34 60 2887 3047
28 70 2601 2761
35 69 2698 2858
22 75 2405 2565
20 85 0 3259
15 80 0 3260
30 56 0 3288
28 52 22 182
14 66 1643 1803
22 66 2504 2664
8 62 0 3265
23 52 209 369
4 55 0 3263
20 50 0 3280
20 55 303 463
8 40 685 845
5 35 876 1036
5 45 1253 1413
0 40 1063 1223
0 45 1158 1318
36 18 1819 1979
32 20 1913 2073
30 30 2105 2265
34 25 0 3274
30 35 0 3281
36 40 0 3289
48 20 967 1127
26 32 0 3277
