c 36 12
40 50 0 3390
52 75 311 471
45 70 213 373
62 69 1167 1327
60 66 1261 1421
42 65 25 185
16 42 497 657
58 70 1073 1233
34 60 2887 3047
28 70 2601 2761
35 69 2698 2858
22 75 2405 2565
20 85 1934 2094
15 80 1837 1997
30 56 2983 3143
28 52 22 182
14 66 1643 1803
22 66 2504 2664
8 62 1545 1705
23 52 209 369
4 55 1447 1607
20 50 398 558
20 55 303 463
8 40 685 845
5 35 876 1036
5 45 1253 1413
0 40 1063 1223
0 45 1158 1318
36 18 1819 1979
32 20 1913 2073
30 30 2105 2265
34 25 2009 2169
30 35 2480 2640
36 40 2856 3016
48 20 967 1127
26 32 2292 2452
