c 36 12
40 50 0 3390
52 75 302 479
45 70 157 428
62 69 1138 1355
60 66 1247 1434
42 65 15 208
16 42 209 944
58 70 1059 1246
34 60 2035 3288
28 70 2090 3271
35 69 2428 3127
22 75 2135 2834
20 85 1512 2515
15 80 1461 2372
30 56 2062 3288
28 52 12 752
14 66 1316 2129
22 66 2177 2990
8 62 1036 2213
23 52 17 602
4 55 1010 2043
20 50 20 948
20 55 63 702
8 40 234 1295
5 35 377 1534
5 45 819 1846
0 40 637 1648
0 45 834 1641
36 18 1468 2329
32 20 1621 2364
30 30 1805 2564
34 25 1782 2395
30 35 2242 2877
36 40 2605 3266
48 20 812 1281
26 32 1842 2901
