c 36 12
40 50 0 3390
52 75 213 568
45 70 22 563
62 69 1030 1463
60 66 1154 1527
42 65 15 402
16 42 331 822
58 70 965 1340
34 60 2653 3280
28 70 2385 2976
35 69 2603 2952
22 75 2310 2659
20 85 1763 2264
15 80 1689 2144
30 56 2675 3288
28 52 12 505
14 66 1519 1926
22 66 2380 2787
8 62 1330 1919
23 52 93 484
4 55 1268 1785
20 50 168 787
20 55 170 595
8 40 499 1030
5 35 666 1245
5 45 1076 1589
0 40 890 1395
0 45 1036 1439
36 18 1612 2185
32 20 1745 2240
30 30 1932 2437
34 25 1884 2293
30 35 2348 2771
36 40 2715 3156
48 20 812 1281
26 32 2018 2725
