c 101 25
35 35 0 230
41 49 130 201
35 17 20 89
55 45 106 135
55 20 71 195
15 30 20 107
25 30 54 153
20 50 66 105
10 43 61 138
55 60 53 150
30 60 101 156
20 65 33 152
50 35 38 97
30 25 70 208
15 10 32 137
30 5 30 154
10 20 54 105
5 30 51 189
20 40 77 106
15 60 53 108
45 65 109 152
45 20 37 96
45 10 59 144
55 5 36 155
65 35 118 190
65 20 47 186
45 30 117 156
35 40 5 156
41 37 8 79
64 42 37 98
40 60 28 123
31 52 24 85
35 69 116 175
53 52 24 179
65 55 100 143
63 65 50 178
2 60 41 178
20 20 117 160
5 5 42 145
60 12 33 186
40 25 51 128
42 7 44 159
24 12 25 172
23 3 115 158
11 14 31 138
6 38 29 189
2 48 93 150
8 56 34 116
13 52 125 192
6 68 93 132
47 47 105 152
49 58 66 119
27 43 25 88
37 31 62 137
57 29 121 168
63 23 70 189
53 12 81 188
32 12 78 133
36 26 79 210
21 24 17 123
17 34 130 201
12 24 59 102
24 58 25 164
27 69 34 112
15 77 46 165
62 77 49 170
49 73 77 179
67 5 43 150
56 39 82 198
37 47 12 142
37 56 21 198
57 68 57 106
47 16 22 110
44 17 60 105
46 13 73 195
49 11 46 101
49 42 36 119
53 43 65 200
61 52 43 158
57 48 58 135
56 37 69 198
55 54 87 110
15 47 28 91
14 37 21 97
11 31 68 143
16 22 74 117
4 18 79 118
28 18 84 111
26 52 24 133
26 35 128 211
31 67 76 123
15 19 130 194
22 22 18 181
18 24 41 199
26 27 88 121
25 24 14 83
22 27 119 160
25 21 122 153
19 21 32 93
20 26 38 137
18 18 28 195
