c 101 25
40 50 0 3390
52 75 311 471
45 70 213 373
62 69 1167 1327
60 66 1261 1421
42 65 25 185
16 42 497 657
58 70 1073 1233
34 60 2887 3047
28 70 2601 2761
35 66 2791 2951
35 69 2698 2858
25 85 2119 2279
22 75 2405 2565
22 85 2026 2186
20 80 2216 2376
20 85 1934 2094
18 75 2311 2471
15 75 1742 1902
15 80 1837 1997
30 50 10 170
30 56 2983 3143
28 52 22 182
14 66 1643 1803
25 50 116 276
22 66 2504 2664
8 62 1545 1705
23 52 209 369
4 55 1447 1607
20 50 398 558
20 55 303 463
10 35 781 941
10 40 593 753
8 40 685 845
8 45 1346 1506
5 35 876 1036
5 45 1253 1413
2 40 971 1131
0 40 1063 1223
0 45 1158 1318
36 18 1819 1979
35 32 2758 2918
33 32 2666 2826
33 35 2573 2733
32 20 1913 2073
30 30 2105 2265
34 25 2009 2169
30 35 2480 2640
36 40 2856 3016
48 20 967 1127
26 32 2292 2452
25 30 2200 2360
25 35 2385 2545
44 5 1256 1416
42 10 1160 1320
42 15 1065 1225
40 5 1350 1510
38 15 1725 1885
38 5 1442 1602
38 10 1630 1790
35 5 1535 1695
50 30 401 561
50 35 120 280
50 40 25 185
48 30 493 653
44 25 871 1031
47 35 588 748
47 40 12 172
42 30 776 936
45 35 680 840
95 30 2321 2481
95 35 2226 2386
53 30 308 468
92 30 2414 2574
53 35 213 373
45 65 118 278
90 35 2131 2291
72 45 2900 3060
78 40 2802 2962
87 30 2608 2768
85 25 2513 2673
85 35 2703 2863
75 55 1925 2085
72 55 1832 1992
70 58 1641 1801
86 46 2029 2189
66 55 1736 1896
64 46 3097 3257
65 60 1546 1706
56 64 1355 1515
60 55 3119 3279
60 60 1451 1611
67 85 694 854
42 58 8 168
65 82 788 948
62 80 881 1041
62 40 3001 3161
60 85 597 757
58 75 978 1138
55 80 407 567
55 85 502 662
