c 101 25
35 35 0 230
41 49 73 204
35 17 18 147
55 45 76 165
55 20 73 195
15 30 20 167
25 30 49 158
20 50 36 135
10 43 50 149
55 60 47 156
30 60 85 172
20 65 33 152
50 35 15 133
30 25 79 208
15 10 32 187
30 5 30 152
10 20 29 139
5 30 60 189
20 40 47 136
15 60 32 146
45 65 79 182
45 20 18 136
45 10 50 153
55 5 36 155
65 35 58 190
65 20 56 186
45 30 87 186
35 40 5 140
41 37 6 136
64 42 29 150
40 60 25 132
31 52 17 138
35 69 67 186
53 52 24 161
65 55 70 173
63 65 54 178
2 60 41 178
20 20 87 190
5 5 42 153
60 12 33 186
40 25 40 139
42 7 43 160
24 12 25 158
23 3 82 185
11 14 31 144
6 38 29 169
2 48 63 180
8 56 34 176
13 52 65 192
6 68 73 152
47 47 75 182
49 58 36 149
27 43 11 133
37 31 51 148
57 29 90 197
63 23 69 189
53 12 76 190
32 12 48 163
36 26 84 210
21 24 17 183
17 34 70 201
12 24 29 132
24 58 25 154
27 69 34 172
15 77 46 165
62 77 49 170
49 73 68 179
67 5 43 156
56 39 80 198
37 47 12 137
37 56 48 198
57 68 39 148
47 16 22 170
44 17 30 135
46 13 74 195
49 11 27 141
49 42 27 128
53 43 72 200
61 52 42 159
57 48 47 146
56 37 73 198
55 54 57 140
15 47 23 146
14 37 21 157
11 31 57 154
16 22 44 147
4 18 49 148
28 18 61 134
26 52 21 136
26 35 68 211
31 67 46 153
15 19 70 194
22 22 18 159
18 24 60 199
26 27 58 151
25 24 14 143
22 27 89 190
25 21 92 183
19 21 21 142
20 26 33 142
18 18 51 195
