c 101 25
40 50 0 960
25 85 0 911
22 75 0 919
22 85 0 910
20 80 644 764
20 85 0 909
18 75 388 508
15 75 0 914
15 80 367 487
10 35 371 491
10 40 519 639
8 40 195 315
8 45 0 917
5 35 653 773
5 45 35 155
2 40 174 294
0 40 255 375
0 45 703 823
44 5 335 455
42 10 254 374
42 15 537 657
40 5 0 905
40 15 375 495
38 5 201 321
38 15 681 801
35 5 784 904
95 30 0 891
95 35 146 266
92 30 149 269
90 35 194 314
88 30 246 366
88 35 0 899
87 30 621 741
85 25 80 200
85 35 0 902
67 85 657 777
65 85 43 163
65 82 0 909
62 80 278 398
60 80 64 184
60 85 329 449
58 75 376 496
55 80 33 153
55 85 574 694
55 82 217 337
20 82 37 157
18 80 489 609
2 45 105 225
42 5 0 904
42 12 440 560
72 35 0 914
55 20 326 446
25 30 0 925
20 50 375 495
55 60 601 721
30 60 599 719
50 35 557 677
30 25 397 517
15 10 782 902
10 20 0 907
15 60 694 814
45 65 258 378
65 35 167 287
65 20 39 159
45 30 191 311
35 40 11 131
41 37 566 686
64 42 268 388
40 60 612 732
31 52 157 277
35 69 810 930
65 55 241 361
63 65 0 922
2 60 286 406
20 20 645 765
5 5 0 892
60 12 268 388
23 3 764 884
8 56 365 485
6 68 352 472
47 47 822 942
49 58 355 475
27 43 0 935
37 31 0 930
57 29 395 515
63 23 0 914
21 24 349 469
12 24 359 479
24 58 260 380
67 5 713 833
37 47 359 479
49 42 0 937
53 43 14 134
61 52 808 928
57 48 0 932
56 37 0 929
55 54 0 934
4 18 547 667
26 52 0 935
26 35 308 428
31 67 810 930
