c 101 25
40 50 0 960
25 85 591 874
22 75 73 350
22 85 473 588
20 80 418 913
20 85 40 390
18 75 249 646
15 75 281 438
15 80 272 581
10 35 236 625
10 40 470 687
8 40 33 510
8 45 166 399
5 35 359 911
5 45 35 457
2 40 39 538
0 40 214 415
0 45 359 909
44 5 338 451
42 10 205 422
42 15 511 682
40 5 158 391
40 15 263 606
38 5 45 522
38 15 598 883
35 5 348 904
95 30 509 668
95 35 57 664
92 30 68 349
90 35 131 376
88 30 114 497
88 35 102 347
87 30 564 797
85 25 51 673
85 35 462 631
67 85 396 905
65 85 43 712
65 82 530 703
62 80 131 544
60 80 36 800
60 85 233 544
58 75 207 664
55 80 33 624
55 85 549 718
55 82 62 491
20 82 37 677
18 80 435 662
2 45 38 366
42 5 636 904
42 12 423 576
72 35 471 662
55 20 281 490
25 30 109 360
20 50 284 585
55 60 568 753
30 60 421 896
50 35 404 829
30 25 347 566
15 10 380 902
10 20 42 466
15 60 613 894
45 65 230 405
65 35 29 587
65 20 39 353
45 30 20 497
35 40 11 570
41 37 423 828
64 42 112 543
40 60 441 902
31 52 9 532
35 69 211 930
65 55 201 400
63 65 27 382
2 60 255 436
20 20 427 913
5 5 183 400
60 12 162 493
23 3 360 900
8 56 195 654
6 68 258 565
47 47 426 942
49 58 369 460
27 43 85 338
37 31 19 326
57 29 304 605
63 23 318 489
21 24 332 485
12 24 365 472
24 58 100 539
67 5 565 897
37 47 324 513
49 42 651 906
53 43 14 669
61 52 298 928
57 48 385 518
56 37 20 299
55 54 538 705
4 18 546 667
26 52 109 354
26 35 170 565
31 67 262 930
