c 101 25
40 50 0 3390
52 75 0 3272
45 70 0 3279
62 69 0 3270
60 66 1261 1421
42 65 0 3284
16 42 0 3274
58 70 0 3273
34 60 2887 3047
28 70 2601 2761
35 66 0 3283
35 69 2698 2858
25 85 0 3261
22 75 2405 2565
22 85 0 3260
20 80 2216 2376
20 85 0 3259
18 75 0 3266
15 75 0 3264
15 80 0 3260
30 50 0 3290
30 56 0 3288
28 52 0 3287
14 66 1643 1803
25 50 0 3285
22 66 2504 2664
8 62 0 3265
23 52 0 3282
4 55 0 3263
20 50 0 3280
20 55 0 3279
10 35 0 3266
10 40 0 3268
8 40 0 3266
8 45 0 3267
5 35 0 3261
5 45 0 3264
2 40 0 3260
0 40 1063 1223
0 45 0 3259
36 18 0 3267
35 32 0 3281
33 32 0 3280
33 35 0 3283
32 20 1913 2073
30 30 0 3277
34 25 0 3274
30 35 0 3281
36 40 0 3289
48 20 0 3268
26 32 0 3277
25 30 0 3275
25 35 0 3278
44 5 1256 1416
42 10 0 3259
42 15 1065 1225
40 5 0 3255
38 15 0 3264
38 5 1442 1602
38 10 0 3259
35 5 0 3254
50 30 0 3277
50 35 120 280
50 40 0 3285
48 30 0 3278
44 25 0 3274
47 35 0 3283
47 40 12 172
42 30 0 3279
45 35 680 840
95 30 0 3241
95 35 0 3242
53 30 0 3276
92 30 0 3244
53 35 213 373
45 65 0 3284
90 35 2131 2291
72 45 2900 3060
78 40 0 3260
87 30 2608 2768
85 25 0 3248
85 35 0 3252
75 55 0 3264
72 55 0 3267
70 58 1641 1801
86 46 0 3253
66 55 0 3273
64 46 3097 3257
65 60 0 3273
56 64 0 3278
60 55 0 3279
60 60 0 3277
67 85 694 854
42 58 0 3291
65 82 0 3259
62 80 0 3262
62 40 0 3275
60 85 0 3259
58 75 0 3269
55 80 407 567
55 85 502 662
