c 101 25
40 50 0 240
25 85 0 191
22 75 0 199
22 85 0 190
20 80 141 171
20 85 0 189
18 75 95 125
15 75 0 194
15 80 91 121
10 35 91 121
10 40 119 149
8 40 59 89
8 45 0 197
5 35 142 172
5 45 35 65
2 40 58 88
0 40 72 102
0 45 149 179
44 5 87 117
42 10 72 102
42 15 122 152
40 5 0 185
40 15 92 122
38 5 65 95
38 15 148 178
35 5 154 184
95 30 0 171
95 35 62 92
92 30 62 92
90 35 67 97
88 30 74 104
88 35 0 179
87 30 131 161
85 25 51 81
85 35 0 182
67 85 139 169
65 85 43 73
65 82 0 189
62 80 75 105
60 80 37 67
60 85 85 115
58 75 92 122
55 80 33 63
55 85 128 158
55 82 64 94
20 82 37 67
18 80 113 143
2 45 45 75
42 5 0 184
42 12 104 134
72 35 0 194
55 20 83 113
25 30 0 205
20 50 91 121
55 60 139 169
30 60 140 170
50 35 130 160
30 25 96 126
15 10 152 182
10 20 0 187
15 60 155 185
45 65 66 96
65 35 52 82
65 20 39 69
45 30 53 83
35 40 11 41
41 37 133 163
64 42 70 100
40 60 144 174
31 52 41 71
35 69 180 210
65 55 65 95
63 65 0 202
2 60 77 107
20 20 141 171
5 5 0 172
60 12 75 105
23 3 150 180
8 56 90 120
6 68 89 119
47 47 192 222
49 58 86 116
27 43 0 215
37 31 0 210
57 29 96 126
63 23 0 194
21 24 87 117
12 24 90 120
24 58 67 97
67 5 144 174
37 47 86 116
49 42 0 217
53 43 14 44
61 52 178 208
57 48 0 212
56 37 0 209
55 54 0 214
4 18 120 150
26 52 0 215
26 35 77 107
31 67 180 210
