c 101 25
35 35 0 230
41 49 133 198
35 17 22 87
55 45 98 143
55 20 123 184
15 30 20 93
25 30 76 131
20 50 61 110
10 43 75 124
55 60 74 129
30 60 107 150
20 65 42 101
50 35 38 97
30 25 131 196
15 10 32 114
30 5 35 96
10 20 52 107
5 30 124 189
20 40 69 114
15 60 52 109
45 65 105 156
45 20 37 96
45 10 76 127
55 5 43 102
65 35 124 190
65 20 121 186
45 30 112 161
35 40 8 75
41 37 11 76
64 42 37 98
40 60 49 102
31 52 24 85
35 69 116 175
53 52 24 92
65 55 96 147
63 65 116 178
2 60 41 112
20 20 113 164
5 5 60 115
60 12 33 110
40 25 65 114
42 7 72 131
24 12 25 91
23 3 111 162
11 14 45 102
6 38 29 99
2 48 92 151
8 56 34 105
13 52 128 192
6 68 93 132
47 47 102 155
49 58 64 121
27 43 26 87
37 31 75 124
57 29 118 171
63 23 111 170
53 12 106 163
32 12 77 134
36 26 147 210
21 24 17 100
17 34 134 199
12 24 55 106
24 58 30 95
27 69 34 103
15 77 48 107
62 77 49 113
49 73 104 159
67 5 59 116
56 39 117 176
37 47 23 86
37 56 123 198
57 68 54 109
47 16 22 96
44 17 56 109
46 13 123 184
49 11 45 102
49 42 52 103
53 43 136 200
61 52 71 130
57 48 72 121
56 37 135 198
55 54 78 119
15 47 29 90
14 37 21 89
11 31 81 130
16 22 70 121
4 18 74 123
28 18 79 116
26 52 50 107
26 35 139 211
31 67 73 126
15 19 132 194
22 22 18 88
18 24 129 199
26 27 81 128
25 24 14 78
22 27 114 165
25 21 115 160
19 21 32 93
20 26 60 115
18 18 123 195
