c 101 25
35 35 0 230
41 49 0 204
35 17 0 202
55 45 0 197
55 20 149 159
15 30 0 199
25 30 0 208
20 50 0 198
10 43 95 105
55 60 97 107
30 60 0 194
20 65 67 77
50 35 0 205
30 25 159 169
15 10 0 187
30 5 61 71
10 20 0 190
5 30 0 189
20 40 0 204
15 60 0 187
45 65 0 188
45 20 0 201
45 10 0 193
55 5 68 78
65 35 0 190
65 20 172 182
45 30 0 208
35 40 0 215
41 37 0 213
64 42 0 190
40 60 0 194
31 52 0 202
35 69 0 186
53 52 0 195
65 55 0 183
63 65 0 178
2 60 0 178
20 20 0 198
5 5 83 93
60 12 0 186
40 25 0 208
42 7 0 191
24 12 0 194
23 3 0 185
11 14 69 79
6 38 0 190
2 48 0 184
8 56 0 185
13 52 0 192
6 68 0 176
47 47 0 203
49 58 0 193
27 43 0 208
37 31 95 105
57 29 0 197
63 23 136 146
53 12 0 190
32 12 0 196
36 26 200 210
21 24 0 202
17 34 0 201
12 24 0 194
24 58 58 68
27 69 0 185
15 77 0 173
62 77 0 170
49 73 0 179
67 5 83 93
56 39 0 198
37 47 50 60
37 56 0 198
57 68 0 180
47 16 0 197
44 17 0 199
46 13 149 159
49 11 0 192
49 42 73 83
53 43 179 189
61 52 0 188
57 48 92 102
56 37 0 198
55 54 0 192
15 47 0 196
14 37 0 198
11 31 101 111
16 22 0 196
4 18 0 184
28 18 93 103
26 52 0 200
26 35 0 211
31 67 0 187
15 19 0 194
22 22 18 28
18 24 0 199
26 27 0 207
25 24 0 205
22 27 0 204
25 21 0 202
19 21 0 198
20 26 83 93
18 18 185 195
