c 101 25
40 50 0 240
25 85 49 191
22 75 30 168
22 85 95 152
20 80 69 193
20 85 40 189
18 75 60 159
15 75 54 133
15 80 67 144
10 35 57 154
10 40 106 161
8 40 33 152
8 45 32 148
5 35 53 191
5 45 35 194
2 40 39 163
0 40 41 141
0 45 51 189
44 5 73 130
42 10 40 148
42 15 94 179
40 5 45 161
40 15 64 149
38 5 45 164
38 15 51 194
35 5 45 183
95 30 90 169
95 35 57 172
92 30 55 174
90 35 52 174
88 30 52 147
88 35 50 172
87 30 61 178
85 25 51 178
85 35 83 168
67 85 57 185
65 85 43 186
65 82 95 182
62 80 38 141
60 80 36 193
60 85 61 138
58 75 49 164
55 80 33 180
55 85 100 185
55 82 35 142
20 82 37 192
18 80 71 184
2 45 38 191
42 5 50 184
42 12 99 138
72 35 83 178
55 20 45 150
25 30 25 150
20 50 68 143
55 60 107 200
30 60 95 214
50 35 91 198
30 25 56 165
15 10 51 182
10 20 42 187
15 60 62 203
45 65 37 124
65 35 29 168
65 20 39 190
45 30 20 139
35 40 11 150
41 37 97 198
64 42 31 138
40 60 101 216
31 52 9 139
35 69 30 210
65 55 30 129
63 65 27 202
2 60 46 137
20 20 71 193
5 5 57 165
60 12 48 131
23 3 49 180
8 56 47 162
6 68 65 142
47 47 93 222
49 58 78 123
27 43 14 140
37 31 19 172
57 29 73 148
63 23 59 144
21 24 63 140
12 24 91 118
24 58 27 136
67 5 52 177
37 47 53 148
49 42 89 217
53 43 14 177
61 52 50 208
57 48 76 143
56 37 20 159
55 54 105 188
4 18 104 165
26 52 14 136
26 35 42 141
31 67 43 210
