c 101 25
40 50 0 1236
45 68 885 994
45 70 802 893
42 66 25 186
42 68 699 810
42 65 15 120
40 69 580 743
40 66 142 253
38 68 220 359
38 70 499 640
35 66 331 436
35 69 420 533
25 85 617 756
22 75 30 155
22 85 541 646
20 80 362 451
20 85 448 555
18 75 75 172
15 75 142 291
15 80 244 379
30 50 10 137
30 52 888 991
28 52 776 919
28 55 709 800
25 50 25 184
25 52 142 251
25 55 582 741
23 52 234 343
23 55 523 616
20 50 335 428
20 55 422 531
10 35 181 256
10 40 31 170
8 40 52 193
8 45 719 848
5 35 252 375
5 45 639 742
2 40 357 460
0 40 457 544
0 45 538 653
35 30 236 349
35 32 132 269
33 32 27 190
33 35 16 144
32 30 332 439
30 30 512 629
30 32 417 540
30 35 982 1127
28 30 601 724
28 35 969 1098
26 32 783 912
25 30 695 816
25 35 883 998
44 5 255 378
42 10 150 293
42 15 63 190
40 5 359 462
40 15 35 140
38 5 439 566
38 15 607 784
35 5 529 662
50 30 491 650
50 35 235 344
50 40 147 242
48 30 601 724
48 40 50 155
47 35 802 899
47 40 12 143
45 30 712 799
45 35 889 996
95 30 353 490
95 35 260 393
53 30 422 533
92 30 442 587
53 35 323 442
45 65 962 1103
90 35 175 288
88 30 539 678
88 35 78 201
87 30 636 763
85 25 744 845
85 35 47 201
75 55 344 445
72 55 228 375
70 58 425 556
68 60 527 640
66 55 141 270
65 55 56 173
65 60 614 739
63 58 705 834
60 55 20 148
60 60 809 916
67 85 331 478
65 85 453 540
65 82 260 361
62 80 174 261
60 80 64 187
60 85 531 652
58 75 30 139
55 80 705 858
55 85 608 765
