c 101 25
35 35 0 1000
41 49 658 898
35 17 93 333
55 45 436 676
55 20 620 860
15 30 20 260
25 30 345 585
20 50 251 491
10 43 323 563
55 60 329 569
30 60 485 725
20 65 146 386
50 35 167 407
30 25 639 879
15 10 32 272
30 5 118 358
10 20 203 443
5 30 682 922
20 40 286 526
15 60 204 444
45 65 504 744
45 20 153 393
45 10 332 572
55 5 146 386
65 35 656 896
65 20 716 956
45 30 508 748
35 40 60 300
41 37 65 305
64 42 132 372
40 60 187 427
31 52 94 334
35 69 599 839
53 52 24 264
65 55 452 692
63 65 630 870
2 60 41 281
20 20 530 770
5 5 234 474
60 12 33 273
40 25 279 519
42 7 334 574
24 12 25 265
23 3 543 783
11 14 167 407
6 38 29 269
2 48 452 692
8 56 48 288
13 52 720 960
6 68 401 641
47 47 475 715
49 58 281 521
27 43 117 357
37 31 332 572
57 29 568 808
63 23 560 800
53 12 519 759
32 12 356 596
36 26 740 980
21 24 17 257
17 34 672 912
12 24 214 454
24 58 113 353
27 69 34 274
15 77 154 394
62 77 49 289
49 73 523 763
67 5 228 468
56 39 575 815
37 47 108 348
37 56 728 968
57 68 198 438
47 16 22 262
44 17 234 474
46 13 622 862
49 11 171 411
49 42 212 452
53 43 730 970
61 52 322 562
57 48 307 547
56 37 728 968
55 54 314 554
15 47 106 346
14 37 53 293
11 31 354 594
16 22 299 539
4 18 307 547
28 18 314 554
26 52 214 454
26 35 718 958
31 67 320 560
15 19 683 923
22 22 18 258
18 24 729 969
26 27 350 590
25 24 42 282
22 27 529 769
25 21 523 763
19 21 125 365
20 26 263 503
18 18 725 965
