c 101 25
35 35 0 230
41 49 0 204
35 17 0 202
55 45 0 197
55 20 139 169
15 30 0 199
25 30 0 208
20 50 0 198
10 43 85 115
55 60 87 117
30 60 0 194
20 65 57 87
50 35 0 205
30 25 149 179
15 10 0 187
30 5 51 81
10 20 0 190
5 30 0 189
20 40 0 204
15 60 0 187
45 65 0 188
45 20 0 201
45 10 0 193
55 5 58 88
65 35 0 190
65 20 156 186
45 30 0 208
35 40 0 215
41 37 0 213
64 42 0 190
40 60 0 194
31 52 0 202
35 69 0 186
53 52 0 195
65 55 0 183
63 65 0 178
2 60 0 178
20 20 0 198
5 5 73 103
60 12 0 186
40 25 0 208
42 7 0 191
24 12 0 194
23 3 0 185
11 14 59 89
6 38 0 190
2 48 0 184
8 56 0 185
13 52 0 192
6 68 0 176
47 47 0 203
49 58 0 193
27 43 0 208
37 31 85 115
57 29 0 197
63 23 126 156
53 12 0 190
32 12 0 196
36 26 180 210
21 24 0 202
17 34 0 201
12 24 0 194
24 58 48 78
27 69 0 185
15 77 0 173
62 77 0 170
49 73 0 179
67 5 73 103
56 39 0 198
37 47 40 70
37 56 0 198
57 68 0 180
47 16 0 197
44 17 0 199
46 13 139 169
49 11 0 192
49 42 63 93
53 43 169 199
61 52 0 188
57 48 82 112
56 37 0 198
55 54 0 192
15 47 0 196
14 37 0 198
11 31 91 121
16 22 0 196
4 18 0 184
28 18 83 113
26 52 0 200
26 35 0 211
31 67 0 187
15 19 0 194
22 22 18 48
18 24 0 199
26 27 0 207
25 24 0 205
22 27 0 204
25 21 0 202
19 21 0 198
20 26 73 103
18 18 165 195
