c 101 25
40 50 0 240
25 85 0 191
22 75 0 199
22 85 0 190
20 80 141 171
20 85 0 189
18 75 0 196
15 75 0 194
15 80 91 121
10 35 91 121
10 40 0 198
8 40 59 89
8 45 0 197
5 35 142 172
5 45 0 194
2 40 58 88
0 40 0 188
0 45 0 189
44 5 0 184
42 10 0 189
42 15 0 194
40 5 0 185
40 15 0 195
38 5 65 95
38 15 0 194
35 5 154 184
95 30 0 171
95 35 0 172
92 30 0 174
90 35 0 177
88 30 0 178
88 35 0 179
87 30 0 178
85 25 0 178
85 35 0 182
67 85 0 185
65 85 0 186
65 82 0 189
62 80 75 105
60 80 0 193
60 85 0 189
58 75 0 199
55 80 0 196
55 85 0 191
55 82 64 94
20 82 0 192
18 80 0 192
2 45 0 191
42 5 0 184
42 12 0 191
72 35 0 194
55 20 0 196
25 30 0 205
20 50 91 121
55 60 0 211
30 60 140 170
50 35 0 211
30 25 0 203
15 10 152 182
10 20 0 187
15 60 0 203
45 65 0 214
65 35 52 82
65 20 0 190
45 30 0 209
35 40 0 218
41 37 0 216
64 42 70 100
40 60 0 220
31 52 41 71
35 69 0 210
65 55 0 204
63 65 0 202
2 60 0 190
20 20 141 171
5 5 0 172
60 12 75 105
23 3 150 180
8 56 0 197
6 68 89 119
47 47 0 222
49 58 0 217
27 43 0 215
37 31 0 210
57 29 96 126
63 23 0 194
21 24 0 197
12 24 90 120
24 58 0 212
67 5 0 177
37 47 0 225
49 42 0 217
53 43 14 44
61 52 0 208
57 48 0 212
56 37 0 209
55 54 0 214
4 18 0 181
26 52 0 215
26 35 77 107
31 67 180 210
