c 101 25
35 35 0 1000
41 49 707 848
35 17 143 282
55 45 527 584
55 20 678 801
15 30 34 209
25 30 415 514
20 50 331 410
10 43 404 481
55 60 400 497
30 60 577 632
20 65 206 325
50 35 228 345
30 25 690 827
15 10 32 243
30 5 175 300
10 20 272 373
5 30 733 870
20 40 377 434
15 60 269 378
45 65 581 666
45 20 214 331
45 10 409 494
55 5 206 325
65 35 704 847
65 20 817 956
45 30 588 667
35 40 104 255
41 37 114 255
64 42 190 313
40 60 259 354
31 52 152 275
35 69 660 777
53 52 45 200
65 55 529 614
63 65 686 813
2 60 41 208
20 20 606 693
5 5 302 405
60 12 33 224
40 25 360 437
42 7 396 511
24 12 25 172
23 3 620 705
11 14 233 340
6 38 29 189
2 48 515 628
8 56 85 250
13 52 773 906
6 68 501 540
47 47 547 642
49 58 348 453
27 43 174 299
37 31 414 489
57 29 641 734
63 23 620 739
53 12 585 692
32 12 421 530
36 26 849 980
21 24 17 229
17 34 721 862
12 24 290 377
24 58 163 302
27 69 34 191
15 77 214 333
62 77 49 188
49 73 592 693
67 5 294 401
56 39 637 752
37 47 162 293
37 56 788 968
57 68 268 367
47 16 31 208
44 17 308 399
46 13 681 802
49 11 236 345
49 42 290 373
53 43 817 952
61 52 384 499
57 48 388 465
56 37 839 968
55 54 411 456
15 47 162 289
14 37 96 249
11 31 436 511
16 22 376 461
4 18 388 465
28 18 420 447
26 52 279 388
26 35 755 920
31 67 392 487
15 19 739 866
22 22 18 181
18 24 811 969
26 27 436 503
25 24 92 231
22 27 607 690
25 21 612 673
19 21 183 306
20 26 333 432
18 18 798 965
