c 101 25
40 50 0 240
25 85 125 191
22 75 32 97
22 85 101 146
20 80 71 193
20 85 40 113
18 75 55 164
15 75 69 118
15 80 56 155
10 35 51 160
10 40 90 177
8 40 33 152
8 45 49 108
5 35 62 191
5 45 35 117
2 40 39 161
0 40 59 114
0 45 60 189
44 5 79 124
42 10 58 115
42 15 111 162
40 5 52 111
40 15 55 158
38 5 45 164
38 15 128 194
35 5 54 184
95 30 105 154
95 35 57 172
92 30 55 120
90 35 52 112
88 30 52 159
88 35 50 110
87 30 116 175
85 25 51 178
85 35 100 151
67 85 61 185
65 85 43 186
65 82 113 164
62 80 37 148
60 80 36 191
60 85 50 149
58 75 48 165
55 80 33 166
55 85 117 168
55 82 35 148
20 82 37 177
18 80 98 157
2 45 38 109
42 5 120 184
42 12 79 158
72 35 104 157
55 20 69 126
25 30 36 97
20 50 57 154
55 60 127 180
30 60 95 214
50 35 88 201
30 25 82 139
15 10 56 182
10 20 42 125
15 60 137 202
45 65 55 106
65 35 29 158
65 20 39 108
45 30 20 139
35 40 11 140
41 37 92 203
64 42 28 141
40 60 100 217
31 52 9 134
35 69 60 210
65 55 52 107
63 65 27 101
2 60 65 118
20 20 72 193
5 5 60 117
60 12 42 143
23 3 52 180
8 56 46 163
6 68 54 153
47 47 97 222
49 58 80 121
27 43 26 87
37 31 19 87
57 29 62 159
63 23 76 127
21 24 77 126
12 24 68 141
24 58 24 139
67 5 105 177
37 47 74 127
49 42 151 212
53 43 14 155
61 52 69 208
57 48 86 133
56 37 20 84
55 54 121 172
4 18 112 157
26 52 30 91
26 35 37 146
31 67 66 210
