c 101 25
35 35 0 1000
41 49 190 974
35 17 18 792
55 45 289 822
55 20 679 800
15 30 20 906
25 30 355 574
20 50 72 669
10 43 393 492
55 60 394 503
30 60 517 692
20 65 206 325
50 35 15 725
30 25 694 823
15 10 32 694
30 5 176 299
10 20 102 543
5 30 673 930
20 40 229 582
15 60 95 552
45 65 418 829
45 20 18 727
45 10 349 554
55 5 206 325
65 35 435 960
65 20 826 956
45 30 328 927
35 40 44 315
41 37 6 526
64 42 29 513
40 60 199 414
31 52 17 744
35 69 482 955
53 52 24 299
65 55 265 878
63 65 626 873
2 60 41 328
20 20 339 960
5 5 298 409
60 12 33 344
40 25 300 497
42 7 336 571
24 12 25 292
23 3 458 867
11 14 230 343
6 38 29 309
2 48 338 805
8 56 34 602
13 52 200 962
6 68 441 600
47 47 272 917
49 58 176 625
27 43 11 748
37 31 403 500
57 29 475 900
63 23 620 739
53 12 525 752
32 12 246 705
36 26 854 980
21 24 17 972
17 34 449 971
12 24 126 541
24 58 168 297
27 69 34 588
15 77 154 393
62 77 49 308
49 73 532 753
67 5 291 404
56 39 577 812
37 47 165 290
37 56 668 968
57 68 98 537
47 16 22 915
44 17 143 564
46 13 681 802
49 11 27 711
49 42 281 382
53 43 821 948
61 52 324 559
57 48 377 476
56 37 719 968
55 54 268 599
15 47 23 761
14 37 21 842
11 31 425 522
16 22 110 727
4 18 230 623
28 18 397 470
26 52 219 448
26 35 409 981
31 67 225 654
15 19 222 964
22 22 18 159
18 24 691 969
26 27 190 749
25 24 14 793
22 27 344 953
25 21 462 823
19 21 21 748
20 26 328 437
18 18 821 965
