c 101 25
40 50 0 960
25 85 431 911
22 75 30 510
22 85 291 771
20 80 674 734
20 85 40 520
18 75 393 502
15 75 120 600
15 80 397 457
10 35 401 461
10 40 535 622
8 40 225 285
8 45 43 523
5 35 683 743
5 45 35 366
2 40 204 264
0 40 204 425
0 45 698 827
44 5 306 483
42 10 199 428
42 15 494 699
40 5 45 525
40 15 383 486
38 5 231 291
38 15 609 872
35 5 821 881
95 30 349 829
95 35 138 273
92 30 78 339
90 35 132 375
88 30 252 359
88 35 50 530
87 30 562 799
85 25 71 208
85 35 307 787
67 85 655 778
65 85 43 186
65 82 377 857
62 80 308 368
60 80 46 201
60 85 339 438
58 75 377 494
55 80 33 166
55 85 531 736
55 82 247 307
20 82 37 177
18 80 432 665
2 45 38 322
42 5 424 904
42 12 460 539
72 35 327 807
55 20 273 498
25 30 25 505
20 50 405 465
55 60 554 767
30 60 629 689
50 35 560 673
30 25 342 571
15 10 842 902
10 20 42 522
15 60 623 884
45 65 214 421
65 35 197 257
65 20 39 316
45 30 191 310
35 40 11 140
41 37 570 681
64 42 298 358
40 60 613 730
31 52 187 247
35 69 780 930
65 55 191 410
63 65 27 507
2 60 240 451
20 20 675 735
5 5 57 537
60 12 298 358
23 3 794 854
8 56 366 483
6 68 382 442
47 47 817 942
49 58 332 497
27 43 14 494
37 31 19 499
57 29 425 485
63 23 164 644
21 24 310 507
12 24 389 449
24 58 262 377
67 5 611 897
37 47 311 526
49 42 457 937
53 43 14 74
61 52 789 928
57 48 212 692
56 37 20 500
55 54 382 862
4 18 516 697
26 52 14 494
26 35 338 398
31 67 870 930
