c 101 25
40 50 0 3390
52 75 302 479
45 70 157 428
62 69 1138 1355
60 66 1247 1434
42 65 15 208
16 42 209 944
58 70 1059 1246
34 60 2035 3288
28 70 2090 3271
35 66 2311 3283
35 69 2428 3127
25 85 1772 2625
22 75 2135 2834
22 85 1586 2625
20 80 1858 2733
20 85 1512 2515
18 75 1895 2886
15 75 1299 2344
15 80 1461 2372
30 50 10 963
30 56 2062 3288
28 52 12 752
14 66 1316 2129
25 50 15 532
22 66 2177 2990
8 62 1036 2213
23 52 17 602
4 55 1010 2043
20 50 20 948
20 55 63 702
10 35 309 1412
10 40 336 1009
8 40 234 1295
8 45 954 1897
5 35 377 1534
5 45 819 1846
2 40 494 1607
0 40 637 1648
0 45 834 1641
36 18 1468 2329
35 32 2480 3195
33 32 2421 3070
33 35 2368 2937
32 20 1621 2364
30 30 1805 2564
34 25 1782 2395
30 35 2242 2877
36 40 2605 3266
48 20 812 1281
26 32 1842 2901
25 30 1883 2676
25 35 2070 2859
44 5 1078 1593
42 10 998 1481
42 15 897 1392
40 5 1083 1776
38 15 1426 2183
38 5 1133 1910
38 10 1392 2027
35 5 1180 2049
50 30 223 738
50 35 18 474
50 40 14 360
48 30 246 899
44 25 704 1197
47 35 393 942
47 40 12 424
42 30 641 1070
45 35 534 985
95 30 2119 2682
95 35 2192 2419
53 30 131 644
92 30 2169 2818
53 35 87 498
45 65 49 346
90 35 2106 2315
72 45 2701 3258
78 40 2599 3164
87 30 2505 2870
85 25 2369 2816
85 35 2563 3002
75 55 1894 2115
72 55 1751 2072
70 58 1617 1824
86 46 1969 2248
66 55 1710 1921
64 46 2976 3275
65 60 1482 1769
56 64 1275 1594
60 55 2789 3279
60 60 1440 1621
67 85 646 901
42 58 8 258
65 82 708 1027
62 80 852 1069
62 40 2713 3275
60 85 537 816
58 75 948 1167
55 80 379 594
55 85 477 686
