c 101 25
40 50 0 1236
45 68 890 989
45 70 816 879
42 66 55 156
42 68 703 806
42 65 15 60
40 69 559 764
40 66 172 223
38 68 250 329
38 70 489 650
35 66 361 406
35 69 450 503
25 85 647 726
22 75 30 95
22 85 571 616
20 80 392 421
20 85 478 525
18 75 105 142
15 75 172 261
15 80 274 349
30 50 10 77
30 52 918 961
28 52 806 889
28 55 739 770
25 50 55 154
25 52 172 221
25 55 612 711
23 52 264 313
23 55 553 586
20 50 365 398
20 55 452 501
10 35 204 233
10 40 31 189
8 40 42 203
8 45 715 852
5 35 251 376
5 45 648 733
2 40 365 452
0 40 474 527
0 45 541 650
35 30 240 345
35 32 123 278
33 32 19 225
33 35 16 153
32 30 338 433
30 30 513 628
30 32 415 542
30 35 872 1127
28 30 599 726
28 35 917 1126
26 32 779 916
25 30 695 816
25 35 857 1024
44 5 221 412
42 10 96 347
42 15 35 233
40 5 347 474
40 15 35 172
38 5 403 602
38 15 521 870
35 5 487 704
50 30 422 719
50 35 217 362
50 40 142 247
48 30 567 758
48 40 34 171
47 35 794 907
47 40 12 226
45 30 716 795
45 35 873 1012
95 30 266 577
95 35 181 472
53 30 402 553
92 30 345 684
53 35 294 471
45 65 951 1114
90 35 153 310
88 30 450 767
88 35 50 237
87 30 567 832
85 25 713 876
85 35 47 331
75 55 311 478
72 55 127 476
70 58 349 632
68 60 476 691
66 55 67 344
65 55 25 256
65 60 546 807
63 58 630 909
60 55 20 293
60 60 769 956
67 85 229 580
65 85 442 551
65 82 227 394
62 80 163 272
60 80 36 291
60 85 469 714
58 75 30 227
55 80 595 968
55 85 493 880
