c 101 25
35 35 0 230
41 49 161 171
35 17 50 60
55 45 116 126
55 20 149 159
15 30 34 44
25 30 99 109
20 50 81 91
10 43 95 105
55 60 97 107
30 60 124 134
20 65 67 77
50 35 63 73
30 25 159 169
15 10 32 42
30 5 61 71
10 20 75 85
5 30 157 167
20 40 87 97
15 60 76 86
45 65 126 136
45 20 62 72
45 10 97 107
55 5 68 78
65 35 153 163
65 20 172 182
45 30 132 142
35 40 37 47
41 37 39 49
64 42 63 73
40 60 71 81
31 52 50 60
35 69 141 151
53 52 37 47
65 55 117 127
63 65 143 153
2 60 41 51
20 20 134 144
5 5 83 93
60 12 44 54
40 25 85 95
42 7 97 107
24 12 31 41
23 3 132 142
11 14 69 79
6 38 32 42
2 48 117 127
8 56 51 61
13 52 165 175
6 68 108 118
47 47 124 134
49 58 88 98
27 43 52 62
37 31 95 105
57 29 140 150
63 23 136 146
53 12 130 140
32 12 101 111
36 26 200 210
21 24 18 28
17 34 162 172
12 24 76 86
24 58 58 68
27 69 34 44
15 77 73 83
62 77 51 61
49 73 127 137
67 5 83 93
56 39 142 152
37 47 50 60
37 56 182 192
57 68 77 87
47 16 35 45
44 17 78 88
46 13 149 159
49 11 69 79
49 42 73 83
53 43 179 189
61 52 96 106
57 48 92 102
56 37 182 192
55 54 94 104
15 47 55 65
14 37 44 54
11 31 101 111
16 22 91 101
4 18 94 104
28 18 93 103
26 52 74 84
26 35 176 186
31 67 95 105
15 19 160 170
22 22 18 28
18 24 188 198
26 27 100 110
25 24 39 49
22 27 135 145
25 21 133 143
19 21 58 68
20 26 83 93
18 18 185 195
