c 101 25
40 50 0 1236
45 68 760 1120
45 70 668 1028
42 66 16 376
42 68 575 935
42 65 15 375
40 69 482 842
40 66 18 378
38 68 110 470
38 70 390 750
35 66 204 564
35 69 297 657
25 85 507 867
22 75 30 390
22 85 414 774
20 80 227 587
20 85 322 682
18 75 33 393
15 75 37 397
15 80 132 492
30 50 10 370
30 52 760 1120
28 52 668 1028
28 55 575 935
25 50 15 375
25 52 17 377
25 55 482 842
23 52 109 469
23 55 390 750
20 50 202 562
20 55 297 657
10 35 39 399
10 40 31 391
8 40 33 393
8 45 604 964
5 35 134 494
5 45 511 871
2 40 229 589
0 40 321 681
0 45 416 776
35 30 113 473
35 32 21 381
33 32 19 379
33 35 16 376
32 30 206 566
30 30 391 751
30 32 299 659
30 35 767 1127
28 30 483 843
28 35 766 1126
26 32 668 1028
25 30 576 936
25 35 761 1121
44 5 137 497
42 10 42 402
42 15 35 395
40 5 231 591
40 15 35 395
38 5 323 683
38 15 516 876
35 5 416 776
50 30 391 751
50 35 110 470
50 40 15 375
48 30 483 843
48 40 12 372
47 35 671 1031
47 40 12 372
45 30 576 936
45 35 763 1123
95 30 242 602
95 35 147 507
53 30 298 658
92 30 335 695
53 35 203 563
45 65 770 1130
90 35 52 412
88 30 429 789
88 35 50 410
87 30 520 880
85 25 615 975
85 35 47 407
75 55 215 575
72 55 122 482
70 58 311 671
68 60 404 764
66 55 26 386
65 55 25 385
65 60 497 857
63 58 590 950
60 55 20 380
60 60 683 1043
67 85 225 585
65 85 317 677
65 82 131 491
62 80 38 398
60 80 36 396
60 85 412 772
58 75 30 390
55 80 602 962
55 85 507 867
