c 101 25
40 50 0 3390
52 75 231 551
45 70 133 453
62 69 1087 1407
60 66 1181 1501
42 65 15 335
16 42 417 737
58 70 993 1313
34 60 2807 3127
28 70 2521 2841
35 66 2711 3031
35 69 2618 2938
25 85 2039 2359
22 75 2325 2645
22 85 1946 2266
20 80 2136 2456
20 85 1854 2174
18 75 2231 2551
15 75 1662 1982
15 80 1757 2077
30 50 10 330
30 56 2903 3223
28 52 12 332
14 66 1563 1883
25 50 36 356
22 66 2424 2744
8 62 1465 1785
23 52 129 449
4 55 1367 1687
20 50 318 638
20 55 223 543
10 35 701 1021
10 40 513 833
8 40 605 925
8 45 1266 1586
5 35 796 1116
5 45 1173 1493
2 40 891 1211
0 40 983 1303
0 45 1078 1398
36 18 1739 2059
35 32 2678 2998
33 32 2586 2906
33 35 2493 2813
32 20 1833 2153
30 30 2025 2345
34 25 1929 2249
30 35 2400 2720
36 40 2776 3096
48 20 887 1207
26 32 2212 2532
25 30 2120 2440
25 35 2305 2625
44 5 1176 1496
42 10 1080 1400
42 15 985 1305
40 5 1270 1590
38 15 1645 1965
38 5 1362 1682
38 10 1550 1870
35 5 1455 1775
50 30 321 641
50 35 40 360
50 40 14 334
48 30 413 733
44 25 791 1111
47 35 508 828
47 40 12 332
42 30 696 1016
45 35 600 920
95 30 2241 2561
95 35 2146 2466
53 30 228 548
92 30 2334 2654
53 35 133 453
45 65 38 358
90 35 2051 2371
72 45 2820 3140
78 40 2722 3042
87 30 2528 2848
85 25 2433 2753
85 35 2623 2943
75 55 1845 2165
72 55 1752 2072
70 58 1561 1881
86 46 1949 2269
66 55 1656 1976
64 46 2955 3275
65 60 1466 1786
56 64 1275 1595
60 55 2959 3279
60 60 1371 1691
67 85 614 934
42 58 8 328
65 82 708 1028
62 80 801 1121
62 40 2921 3241
60 85 517 837
58 75 898 1218
55 80 327 647
55 85 422 742
