c 101 25
40 50 0 240
25 85 71 191
22 75 30 150
22 85 64 184
20 80 151 161
20 85 40 160
18 75 96 123
15 75 35 155
15 80 101 111
10 35 101 111
10 40 123 144
8 40 69 79
8 45 32 152
5 35 152 162
5 45 35 117
2 40 68 78
0 40 59 114
0 45 147 180
44 5 79 124
42 10 58 115
42 15 111 162
40 5 45 165
40 15 94 119
38 5 75 85
38 15 128 194
35 5 171 181
95 30 58 171
95 35 60 93
92 30 55 120
90 35 52 112
88 30 75 102
88 35 50 170
87 30 116 175
85 25 51 85
85 35 62 182
67 85 138 169
65 85 43 78
65 82 69 189
62 80 85 95
60 80 36 74
60 85 87 112
58 75 92 121
55 80 33 66
55 85 117 168
55 82 74 84
20 82 37 72
18 80 98 157
2 45 38 109
42 5 64 184
42 12 109 128
72 35 71 191
55 20 69 126
25 30 25 145
20 50 101 111
55 60 127 180
30 60 150 160
50 35 130 159
30 25 82 139
15 10 172 182
10 20 42 162
15 60 137 202
45 65 55 106
65 35 62 72
65 20 39 108
45 30 53 82
35 40 11 43
41 37 134 161
64 42 80 90
40 60 144 173
31 52 51 61
35 69 172 210
65 55 52 107
63 65 27 147
2 60 65 118
20 20 151 161
5 5 57 172
60 12 85 95
23 3 163 173
8 56 90 119
6 68 99 109
47 47 190 222
49 58 80 121
27 43 14 134
37 31 19 139
57 29 106 116
63 23 42 162
21 24 77 126
12 24 100 110
24 58 67 96
67 5 105 177
37 47 74 127
49 42 97 217
53 43 15 25
61 52 173 208
57 48 50 170
56 37 20 140
55 54 87 207
4 18 112 157
26 52 14 134
26 35 87 97
31 67 200 210
