c 101 25
35 35 0 230
41 49 151 181
35 17 40 70
55 45 106 136
55 20 139 169
15 30 24 54
25 30 89 119
20 50 71 101
10 43 85 115
55 60 87 117
30 60 114 144
20 65 57 87
50 35 53 83
30 25 149 179
15 10 32 62
30 5 51 81
10 20 65 95
5 30 147 177
20 40 77 107
15 60 66 96
45 65 116 146
45 20 52 82
45 10 87 117
55 5 58 88
65 35 143 173
65 20 156 186
45 30 122 152
35 40 27 57
41 37 29 59
64 42 53 83
40 60 61 91
31 52 40 70
35 69 131 161
53 52 27 57
65 55 107 137
63 65 133 163
2 60 41 71
20 20 124 154
5 5 73 103
60 12 34 64
40 25 75 105
42 7 87 117
24 12 25 55
23 3 122 152
11 14 59 89
6 38 29 59
2 48 107 137
8 56 41 71
13 52 155 185
6 68 98 128
47 47 114 144
49 58 78 108
27 43 42 72
37 31 85 115
57 29 130 160
63 23 126 156
53 12 120 150
32 12 91 121
36 26 180 210
21 24 17 47
17 34 152 182
12 24 66 96
24 58 48 78
27 69 34 64
15 77 63 93
62 77 49 79
49 73 117 147
67 5 73 103
56 39 132 162
37 47 40 70
37 56 168 198
57 68 67 97
47 16 25 55
44 17 68 98
46 13 139 169
49 11 59 89
49 42 63 93
53 43 169 199
61 52 86 116
57 48 82 112
56 37 168 198
55 54 84 114
15 47 45 75
14 37 34 64
11 31 91 121
16 22 81 111
4 18 84 114
28 18 83 113
26 52 64 94
26 35 166 196
31 67 85 115
15 19 150 180
22 22 18 48
18 24 169 199
26 27 90 120
25 24 29 59
22 27 125 155
25 21 123 153
19 21 48 78
20 26 73 103
18 18 165 195
