c 101 25
40 50 0 3390
52 75 213 568
45 70 22 563
62 69 1030 1463
60 66 1154 1527
42 65 15 402
16 42 331 822
58 70 965 1340
34 60 2653 3280
28 70 2385 2976
35 66 2628 3113
35 69 2603 2952
25 85 1985 2412
22 75 2310 2659
22 85 1846 2365
20 80 2077 2514
20 85 1763 2264
18 75 2143 2638
15 75 1560 2083
15 80 1689 2144
30 50 10 645
30 56 2675 3288
28 52 12 505
14 66 1519 1926
25 50 23 368
22 66 2380 2787
8 62 1330 1919
23 52 93 484
4 55 1268 1785
20 50 168 787
20 55 170 595
10 35 585 1136
10 40 448 897
8 40 499 1030
8 45 1190 1661
5 35 666 1245
5 45 1076 1589
2 40 772 1329
0 40 890 1395
0 45 1036 1439
36 18 1612 2185
35 32 2599 3076
33 32 2529 2962
33 35 2463 2842
32 20 1745 2240
30 30 1932 2437
34 25 1884 2293
30 35 2348 2771
36 40 2715 3156
48 20 812 1281
26 32 2018 2725
25 30 2015 2544
25 35 2201 2728
44 5 1078 1593
42 10 998 1481
42 15 897 1392
40 5 1199 1660
38 15 1552 2057
38 5 1263 1780
38 10 1498 1921
35 5 1325 1904
50 30 223 738
50 35 18 474
50 40 14 360
48 30 246 899
44 25 704 1197
47 35 393 942
47 40 12 424
42 30 641 1070
45 35 534 985
95 30 2119 2682
95 35 2079 2532
53 30 131 644
92 30 2169 2818
53 35 87 498
45 65 15 607
90 35 2002 2419
72 45 2701 3258
78 40 2599 3164
87 30 2505 2870
85 25 2369 2816
85 35 2563 3002
75 55 1783 2226
72 55 1591 2232
70 58 1513 1928
86 46 1829 2388
66 55 1604 2027
64 46 2976 3275
65 60 1338 1913
56 64 1116 1753
60 55 2789 3279
60 60 1349 1712
67 85 518 1029
42 58 8 509
65 82 549 1186
62 80 744 1177
62 40 2713 3275
60 85 397 956
58 75 839 1276
55 80 272 701
55 85 373 790
