c 41 13
40 50 0 240
25 85 125 191
22 75 32 97
20 85 40 113
18 75 55 164
15 75 69 118
15 80 56 155
10 35 51 160
8 40 33 152
8 45 49 108
5 35 62 191
5 45 35 117
0 40 59 114
0 45 60 189
42 15 111 162
40 5 52 111
40 15 55 158
38 5 45 164
38 15 128 194
35 5 54 184
95 30 105 154
95 35 57 172
92 30 55 120
88 35 50 110
87 30 116 175
85 25 51 178
85 35 100 151
65 85 43 186
65 82 113 164
60 80 36 191
60 85 50 149
58 75 48 165
55 80 33 166
55 85 117 168
55 82 35 148
20 82 37 177
18 80 98 157
2 45 38 109
42 5 120 184
42 12 79 158
72 35 104 157
