c 41 13
40 50 0 240
25 85 71 191
22 75 30 150
20 85 40 160
18 75 96 123
15 75 35 155
15 80 101 111
10 35 101 111
8 40 69 79
8 45 32 152
5 35 152 162
5 45 35 117
0 40 59 114
0 45 147 180
42 15 111 162
40 5 45 165
40 15 94 119
38 5 75 85
38 15 128 194
35 5 171 181
95 30 58 171
95 35 60 93
92 30 55 120
88 35 50 170
87 30 116 175
85 25 51 85
85 35 62 182
65 85 43 78
65 82 69 189
60 80 36 74
60 85 87 112
58 75 92 121
55 80 33 66
55 85 117 168
55 82 74 84
20 82 37 72
18 80 98 157
2 45 38 109
42 5 64 184
42 12 109 128
72 35 71 191
