c 41 13
40 50 0 960
25 85 591 874
22 75 73 350
20 85 40 390
18 75 249 646
15 75 281 438
15 80 272 581
10 35 236 625
8 40 33 510
8 45 166 399
5 35 359 911
5 45 35 457
0 40 214 415
0 45 359 909
42 15 511 682
40 5 158 391
40 15 263 606
38 5 45 522
38 15 598 883
35 5 348 904
95 30 509 668
95 35 57 664
92 30 68 349
88 35 102 347
87 30 564 797
85 25 51 673
85 35 462 631
65 85 43 712
65 82 530 703
60 80 36 800
60 85 233 544
58 75 207 664
55 80 33 624
55 85 549 718
55 82 62 491
20 82 37 677
18 80 435 662
2 45 38 366
42 5 636 904
42 12 423 576
72 35 471 662
