c 41 13
40 50 0 960
25 85 0 911
22 75 0 919
20 85 0 909
18 75 388 508
15 75 0 914
15 80 367 487
10 35 371 491
8 40 195 315
8 45 0 917
5 35 653 773
5 45 35 155
0 40 255 375
0 45 703 823
42 15 537 657
40 5 0 905
40 15 375 495
38 5 201 321
38 15 681 801
35 5 784 904
95 30 0 891
95 35 146 266
92 30 149 269
88 35 0 899
87 30 621 741
85 25 80 200
85 35 0 902
65 85 43 163
65 82 0 909
60 80 64 184
60 85 329 449
58 75 376 496
55 80 33 153
55 85 574 694
55 82 217 337
20 82 37 157
18 80 489 609
2 45 105 225
42 5 0 904
42 12 440 560
72 35 0 914
