c 41 13
40 50 0 960
25 85 388 911
22 75 30 546
20 85 40 630
18 75 228 667
15 75 161 558
15 80 229 624
10 35 213 648
8 40 33 511
8 45 46 519
5 35 395 911
5 45 35 697
0 40 94 535
0 45 394 909
42 15 391 802
40 5 45 517
40 15 229 640
38 5 45 523
38 15 389 914
35 5 386 904
95 30 389 788
95 35 57 600
92 30 55 575
88 35 50 534
87 30 425 898
85 25 51 602
85 35 342 751
65 85 43 617
65 82 410 823
60 80 36 658
60 85 191 586
58 75 201 670
55 80 33 568
55 85 429 838
55 82 49 504
20 82 37 597
18 80 315 782
2 45 38 606
42 5 396 904
42 12 341 658
72 35 351 782
