c 41 13
35 35 0 1000
35 17 0 972
55 20 678 801
15 30 0 969
25 30 415 514
20 50 0 968
55 60 400 497
20 65 206 325
50 35 0 975
30 25 690 827
30 5 175 300
5 30 733 870
20 40 0 974
15 60 0 957
45 20 0 971
45 10 409 494
55 5 206 325
65 20 817 956
45 30 0 978
41 37 0 983
64 42 0 960
40 60 259 354
31 52 0 972
35 69 0 956
65 55 0 953
63 65 686 813
2 60 41 208
20 20 0 968
5 5 302 405
60 12 33 224
40 25 360 437
42 7 396 511
24 12 25 172
23 3 0 955
11 14 233 340
6 38 29 189
2 48 0 954
8 56 0 955
13 52 0 962
6 68 501 540
47 47 0 973
