c 41 13
40 50 0 240
25 85 130 190
22 75 35 95
20 85 40 100
18 75 80 140
15 75 64 124
15 80 76 136
10 35 76 136
8 40 44 104
8 45 49 109
5 35 127 187
5 45 35 95
0 40 57 117
0 45 129 189
42 15 107 167
40 5 52 112
40 15 77 137
38 5 50 110
38 15 133 193
35 5 124 184
95 30 100 160
95 35 57 117
92 30 55 115
88 35 50 110
87 30 116 176
85 25 51 111
85 35 96 156
65 85 43 103
65 82 109 169
60 80 36 96
60 85 70 130
58 75 77 137
55 80 33 93
55 85 113 173
55 82 49 109
20 82 37 97
18 80 98 158
2 45 38 98
42 5 124 184
42 12 89 149
72 35 101 161
