c 41 13
40 50 0 1236
45 70 756 939
42 68 643 866
42 65 15 226
40 69 499 824
40 66 87 308
38 70 429 710
35 66 279 488
35 69 363 590
25 85 547 826
22 75 30 280
22 85 489 698
20 80 318 495
20 85 394 609
18 75 33 226
15 75 68 365
15 80 176 447
28 52 704 991
28 55 664 845
25 52 88 305
25 55 502 821
23 52 179 398
23 55 476 663
20 50 288 475
20 55 368 585
10 35 144 293
8 40 33 313
8 45 655 912
5 35 191 436
5 45 588 793
2 40 305 512
0 40 414 587
0 45 481 710
33 32 19 345
33 35 16 273
30 30 453 688
30 32 355 602
30 35 837 1127
28 30 539 786
28 35 867 1126
26 32 719 976
