c 41 13
40 50 0 240
25 85 49 191
22 75 30 168
20 85 40 189
18 75 60 159
15 75 54 133
15 80 67 144
10 35 57 154
8 40 33 152
8 45 32 148
5 35 53 191
5 45 35 194
0 40 41 141
0 45 51 189
42 15 94 179
40 5 45 161
40 15 64 149
38 5 45 164
38 15 51 194
35 5 45 183
95 30 90 169
95 35 57 172
92 30 55 174
88 35 50 172
87 30 61 178
85 25 51 178
85 35 83 168
65 85 43 186
65 82 95 182
60 80 36 193
60 85 61 138
58 75 49 164
55 80 33 180
55 85 100 185
55 82 35 142
20 82 37 192
18 80 71 184
2 45 38 191
42 5 50 184
42 12 99 138
72 35 83 178
