c 41 13
35 35 0 1000
35 17 0 972
55 20 620 860
15 30 0 969
25 30 0 978
20 50 0 968
55 60 329 569
20 65 146 386
50 35 0 975
30 25 639 879
30 5 118 358
5 30 0 959
20 40 0 974
15 60 0 957
45 20 0 971
45 10 0 963
55 5 146 386
65 20 716 956
45 30 0 978
41 37 0 983
64 42 0 960
40 60 0 964
31 52 0 972
35 69 0 956
65 55 0 953
63 65 0 948
2 60 0 948
20 20 0 968
5 5 234 474
60 12 0 956
40 25 0 978
42 7 0 961
24 12 0 964
23 3 0 955
11 14 167 407
6 38 0 960
2 48 0 954
8 56 0 955
13 52 0 962
6 68 0 946
47 47 0 973
